id,vignette,llm_answer,explanation,ground_truth,annotation,arm,error_class_one,error_class_two
f9caa80c-682f-437d-9da7-1bf2dd36f582,"A patient with an unknown age presents with new neurologic symptoms. It is noted that the patient is not alert, requiring repeated stimulation to elicit a response; however, they do not require painful stimuli. It is observed that the patient can only answer one of the two orientation questions correctly. It is noted that the patient cannot perform either of the simple commands given: closing their eyes and making a fist. The patient exhibits forced deviation of the eyes, unable to move them past the midline in one direction. No visual loss is detected when testing the patient's visual fields. Facial movements appear symmetrical and normal when the patient smiles and shows their teeth. When asked to raise the left arm, the patient can lift it against gravity but cannot maintain the position for the full 10 seconds. There is no observable voluntary movement in the patient's right arm. The left leg maintains its position without drifting for the full 5 seconds when elevated. There is no observable voluntary movement in the patient's right leg. No ataxia is detected when the patient performs finger-nose-finger and heel-shin tests. The patient demonstrates severe or total loss of sensation, unable to feel the pinprick stimulus on one side of the body. It is noted that the patient has some difficulty communicating, struggling to name objects or construct complex sentences. It is observed that the patient's speech is slurred but mostly intelligible. The patient demonstrates profound hemi-inattention, unable to orient to or interact with anything presented on one side of their body or environment. In fact, they do not recognize their own hand from the affected side. What is their NIHSS score?",25.0,"The patient’s NIHSS score is calculated by adding the points from each section. The patient scored 2 points for level of consciousness, 1 point for orientation, 2 points for commands, 2 points for best gaze, 0 points for visual fields, 0 points for facial palsy, 3 points for left arm motor, 4 points for right arm motor, 0 points for left leg motor, 4 points for right leg motor, 0 points for limb ataxia, 2 points for sensation, 2 points for language/aphasia, 1 point for dysarthria, and 2 points for extinction/inattention. The total score is 2+1+2+2+0+0+3+4+0+4+0+2+2+1+2=25.",22,hemiinattention,llama_rag,Interpretation Error,
bf3711c6-a868-4962-a83b-d25f84e1b8a2,"I'm seeking your expertise to evaluate a patient. This is a 82-year-old man who has been admitted to the hospital. They are not scheduled for surgery. In the past month, they have had the following events: a radial fracture requiring an immobilizing plaster cast. There have been no other significant medical events in the past one month. The patient has a history of history of DVT/PE and no other venous or clotting disorders. Their mobility is normal, they are ambulating indepently. Other notable past medical history includes history of COPD. There is no other relevant past medical or surgical history. Their BMI is 23. Could you help me determine their Caprini VTE risk score?",8.0,"The Caprini VTE risk score is calculated by adding points for each risk factor present in the patient. For this patient, the factors are: Age (82 years old) = 2 points, Immobilizing plaster cast = 2 points, History of DVT/PE = 3 points, and COPD = 1 point. The total score is 8.",9,radial cast,gpt4_rag_ci,Interpretation Error,
5d2c13b6-efb5-4d5f-8dcf-6428d5d37d01,"We have a 49-year-old female under consideration for liver transplantation. I need your assistance in evaluating their case. Their most recent labs show: INR 2.9, serum sodium 125, total bilirubin 3, and serum creatinine 1.3. Additionally, They are on three-times-per-week dialysis. Based on this information, what would you calculate their MELD-Na score to be?",38.0,"First, calculate the MELD score using the formula: MELD = 3.78 * ln(3) + 11.2 * ln(2.9) + 9.57 * ln(4.0) + 6.43. This gives us a MELD score of approximately 34. Then, calculate the MELD-Na score using the formula: MELD-Na = MELD + 1.32 * (137 - 125) - [0.033 * MELD * (137 - 125)]. Substituting the values, we get MELD-Na = 34 + 1.32 * 12 - [0.033 * 34 * 12] = 38.0.",37,34 + 1.32 * 12 - (0.033 * 34 * 12) = 36.376,gpt4_base,Calculation Error,
0a65ab96-44fb-4a20-9faa-c31ef8661171,"A patient with an unknown age presents with new neurologic symptoms. It is noted that the patient is not alert, requiring repeated stimulation to elicit a response; however, they do not require painful stimuli. The patient is unable to provide correct answers to either of the orientation questions. When asked to complete two commands, the patient successfully executes one command but struggles with the other. The patient exhibits forced deviation of the eyes, unable to move them past the midline in one direction. The patient demonstrates bilateral hemianopia, showing no response to visual stimuli in both right and left visual fields. The patient shows marked asymmetry in their smile, movement is present but diminished in the lower face on one side. The left arm maintains its position without drifting for the full 10 seconds when extended. When instructed to raise the right arm, the patient can lift it against gravity but cannot maintain the position for the full 10 seconds. When asked to lift the left leg, the patient can raise it against gravity but cannot maintain the position for the full 5 seconds. When instructed to raise the right leg, the patient can lift it against gravity but cannot maintain the position for the full 5 seconds. No ataxia is detected when the patient performs finger-nose-finger and heel-shin tests. There is mild to moderate loss of sensation, with the patient reporting diminished or altered feeling to pinprick on one side. The patient's language abilities are intact, with no difficulty in comprehension. The patient's speech is clear and easily understood. When presented with simultaneous stimuli on both sides, the patient consistently fails to acknowledge the stimulus on one side; however, recognizes one's own hand when presented with it. What is their NIHSS score?",20.0,"The NIHSS score is calculated based on the given parameters, including level of consciousness, orientation, commands, gaze, visual fields, facial palsy, motor drift, limb ataxia, sensation, language, dysarthria, and extinction/inattention.",19,scored Extinction/inattention 2 not 1,llama_rag_ci,Incorrect Formula,
8ed6c35d-4d42-46c9-be28-6a5874214368,"A 58-year-old male is being monitored for organ failure.   They are ventilating spontaneously with supplemental oxygen via HFNC. Based on their most recent blood gas, their FiO2 is 70% and their PaO2 is 58. Platelets are 28, bilirubin 7, Their MAP is 72 on a low-dose dobutamine (3 mcg/kg/min). Glasgow Coma Scale is 3, creatinine 6, and urine output 1000 mL/day. Please determine his SOFA score.",20.0,"The SOFA score is calculated by evaluating six organ systems: respiratory, coagulation, liver, cardiovascular, CNS, and renal. Each system is scored from 0 to 4 based on the severity of dysfunction. The scores are then summed to get the total SOFA score. In this case, the scores are: Respiratory (4), Coagulation (3), Liver (3), Cardiovascular (2), CNS (4), and Renal (4), resulting in a total SOFA score of 20.",18,,gpt4_rag,Assignment Error,
6eb13335-fb37-439a-8774-eed543e32ede,I'd like your help with a calculation for one of my patients. I am seeing a 66-year-old woman who presented to my clinic with a rash. They deny any history of heart attacks. Review of cardiac history reveals no symptoms or diagnosis of congestive heart failure. The patient notes no known peripheral vascular disease. Review of neurologic history reveals no prior strokes or transient ischemic attacks. The patient endorses a diagnosis of Alzheimer's disease from two years ago and requires assistance with daily activities. They deny any history of chronic lung diseases. The patient notes a diagnosis of rheumatoid arthritis five years ago and is on immunosuppressive therapy. They report a history of recurrent peptic ulcers and take daily proton pump inhibitors. The patient's liver function tests are normal. They report a 20-year history of type 1 diabetes complicated by diabetic retinopathy and neuropathy. The patient has been paraplegic since a car accident 10 years ago. Renal function testing is normal. They report a recent diagnosis of early-stage breast cancer without known metastasis and are scheduled for a lumpectomy. They deny any history of HIV or AIDS. The patient denies any history of lymphoma. Review of hematologic history reveals no prior leukemia. What is their Charleston Comorbidity Index (CCI) score?,12.0,"The patient is 66 years old, which corresponds to 2 points for age. The patient has a history of dementia (2 points), connective tissue disease (1 point), peptic ulcer disease (1 point), diabetes with end-organ damage (2 points), hemiplegia (2 points), and localized solid tumor (2 points). The total CCI score is 2 + 1 + 1 + 2 + 2 + 2 + 2 = 12.",11,dementia given wrong num points,llama_rag,Assignment Error,
b7470194-d1b5-4248-b663-83732fd97eaa,"I'm seeking your advice on a liver transplant candidate. The patient is a 40-year-old woman with the following lab results: sodium 129, bilirubin 2, creatinine 1.6, and INR 1. They are not on dialysis. Could you help me determine their MELD-Na score?",14.0,The MELD-Na score is calculated using the following formula: MELD-Na = MELD + 1.32 * (137 - Na) - [0.033 * MELD * (137 - Na)]. The MELD score is calculated using the following formula: MELD = 10 * (0.957 * ln(serum creatinine) + 0.378 * ln(bilirubin) + 1.120 * ln(INR) + 0.643).,20,,llama_base,Incorrect Formula,
01366fb9-6cef-42d6-8ecb-f89829207f8f,"We have a 20-year-old female presenting with leg-related symptoms. I'd like your help assessing their condition. They have a history of a prior DVT in the femoral vein. They have active cancer.  They have localized tenderness along the deep venous system. They have no pitting edema in the symptomatic leg. DVT is the leading diagnosis. They have no paralysis, paresis, or recent plaster immobilization of the lower extremity. They had major surgery 8 weeks ago. They have swelling of the left calf that is more than 4cm compared to the other leg. They have collateral superficial veins on their leg. They have swelling of the entire leg. Based on this information, what would be their Wells DVT score?",6.0,"Wells' Criteria for deep vein thrombosis (DVT) is a tool to estimate the probability of the presence of DVT. For more information, see https://openmedcalc.org/wells-dvt",7,alternative_diagnosis_as_likely,llama_omc,Interpretation Error,
445342a5-0b42-413a-80a9-88abc840540d,"A 62-year-old patient is scheduled for on-pump CABG, with anticipated duration of one hour; it is scheduled as an emergency surgery. They have a preoperative SpO2 of 93% on room air. Three weeks ago, they were febrile and were treated with a course of azirthromycin for a presumed pneumonia. Their hgb is 13.5. What is their ARISCAT score?",5.0,"The ARISCAT score is a risk index for predicting postoperative pulmonary complications in patients undergoing surgery. The score is calculated based on six factors: age > 59 years, surgical incision (upper abdominal or thoracic), arterial oxygen saturation < 91%, history of chronic obstructive pulmonary disease (COPD), surgical procedure lasting > 2 hours, and emergency surgery. Based on the provided information, the patient has an age > 60, emergency surgery, SpO2 < 91%, and recent infection. Therefore, the ARISCAT score is 5.",60,"confused ARISCAT for PSIPORT, also oxygen sat comparison wrong",llama_ci,Incorrect Criteria,Interpretation Error
28180c06-b720-4a49-9ced-4f22864b66cd,"I'd like your assistance with a patient of mine. He's a 87yo man with a history of hypertension and CAD s/p remote CABG who presents for a mental health evaluation. First, the individual acknowledges feeling afraid nearly every day during this period}. Also, the individual states feeling nervous nearly every day recently. Furthermore, patient states not having trouble relaxing at all during this period. Additionally, regarding worry, the patient notes that in the last week, they experienced a loss of control in their worrying for several days, but did not find themselves ""worrying too much about different things"" at all. The patient's mother is very judgemental and controlling of the patient. One other thing to note:  they note getting easily annoyed several days in this period. patient describes feeling restless more than half the days recently. CThe overall impact of these feelings is that severe, they report that it is extremely difficult to manage their daily activities. an you calculate their GAD-7 score?",13.0,The GAD-7 is a 7-item anxiety measure. Each item asks how often the individual has been bothered by each symptom over the past two weeks. The items are scored from 0 (not at all) to 3 (nearly every day). The total score ranges from 0 to 21. Based on the patient,10,incomplete explanation,llama_base,Indeterminate,
