id,full title,description,url
10514,2012 EULAR/ACR Classification Criteria for Polymyalgia Rheumatica,Classifies polymyalgia rheumatica by expert consensus recommendations.,http://www.mdcalc.com/calc/10514
10454,2023 Emergency Medicine Coding Guide,Rates level of service required in emergency medicine.,http://www.mdcalc.com/calc/10454
10474,2HELPS2B Score,Estimates seizure risk in acutely ill patients undergoing continuous EEG (cEEG).,http://www.mdcalc.com/calc/10474
3982,4 A’s Test for Delirium Screening,Diagnoses delirium in older patients.,http://www.mdcalc.com/calc/3982
10370,4-Level Pulmonary Embolism Clinical Probability Score (4PEPS),Rules out PE based on clinical criteria.,http://www.mdcalc.com/calc/10370
10338,4C Mortality Score for COVID-19,Predicts in-hospital mortality in patients admitted with COVID-19.,http://www.mdcalc.com/calc/10338
1787,4Ts Score for Heparin-Induced Thrombocytopenia,Differentiates patients with HIT from those with other causes of thrombocytopenia.,http://www.mdcalc.com/calc/1787
3983,6 Minute Walk Distance,"Calculates reference values for distance walked, as a measure of functional status.",http://www.mdcalc.com/calc/3983
243,A-a O<sub>2</sub> Gradient,Assesses for degree of shunting and V/Q mismatch.,http://www.mdcalc.com/calc/243
4052,AAP Pediatric Hypertension Guidelines,Diagnoses hypertension in pediatric patients; official guideline of the American Academy of Pediatrics.,http://www.mdcalc.com/calc/4052
3627,Abbey Pain Scale for Dementia Patients,Assesses pain in patients with advanced dementia.,http://www.mdcalc.com/calc/3627
4056,Abbreviated Injury Score (AIS) for Inhalation Injury,Classifies inhalation injury severity based on bronchoscopic findings.,http://www.mdcalc.com/calc/4056
10208,Abbreviated Mental Test (AMT-10),Assesses mental impairment in elderly patients.,http://www.mdcalc.com/calc/10208
3995,Abbreviated Mental Test 4 (AMT-4),Assesses mental impairment in elderly patients.,http://www.mdcalc.com/calc/3995
1228,ABC Score for Massive Transfusion,Predicts need for massive transfusion in trauma patients.,http://www.mdcalc.com/calc/1228
2031,ABC/2 Formula for Intracerebral Hemorrhage Volume,Predicts volume of intracranial hemorrhage from CT measurements.,http://www.mdcalc.com/calc/2031
357,ABCD<sup>2</sup> Score for TIA,Estimates the risk of stroke after a suspected transient ischemic attack (TIA).,http://www.mdcalc.com/calc/357
10136,ABIC Score for Alcoholic Hepatitis,Predicts survival in alcoholic hepatitis.,http://www.mdcalc.com/calc/10136
10435,Abnormal Involuntary Movement Scale (AIMS),Measures involuntary movements of tardive dyskinesia (TD).,http://www.mdcalc.com/calc/10435
2203,Absolute Lymphocyte Count (ALC),Assesses number of lymphocytes and predicts CD4 count.,http://www.mdcalc.com/calc/2203
19,Absolute Neutrophil Count (ANC),Frequently used to assess neutropenic fever in chemotherapy patients.,http://www.mdcalc.com/calc/19
1667,Absolute Reticulocyte Count & Reticulocyte Index,"Assesses appropriate response to anemia, frequently in sickle cell patients.",http://www.mdcalc.com/calc/1667
10419,Abuse Assessment Screen (AAS),Detects domestic abuse (intimate partner violence) in pregnant and nonpregnant women in healthcare settings.,http://www.mdcalc.com/calc/10419
3826,ACC/AHA Heart Failure Staging,Describes stages of heart failure and provides recommendations for therapy by stage.,http://www.mdcalc.com/calc/3826
10075,ACEF II Risk Score for Cardiac Surgery,Predicts 30-day mortality after elective or emergency cardiac surgery.,http://www.mdcalc.com/calc/10075
10373,ACEP ED COVID-19 Management Tool,"Emergency department classification and management tool for adult patients (greater than 18 years old) with suspected or confirmed SARS-CoV-2 (v3.0, updated Fall 2023).",http://www.mdcalc.com/calc/10373
568,Acetaminophen Overdose and NAC Dosing,Calculates PO/IV NAC dosing for acetaminophen overdose (and nomogram to determine toxic 4 hour level).,http://www.mdcalc.com/calc/568
10092,ACR/EULAR 2010 Rheumatoid Arthritis Classification Criteria,Diagnoses rheumatoid arthritis (RA) in patients with undifferentiated inflammatory synovitis.,http://www.mdcalc.com/calc/10092
2195,ACR/EULAR Gout Classification Criteria,Provides formal diagnostic criteria for gout.,http://www.mdcalc.com/calc/2195
10020,ACTION ICU Score for Intensive Care in NSTEMI,Predicts risk of NSTEMI complications requiring ICU care.,http://www.mdcalc.com/calc/10020
3828,Acute Decompensated Heart Failure National Registry (ADHERE) Algorithm,Predicts in-hospital mortality in patients with heart failure (HF).,http://www.mdcalc.com/calc/3828
2175,Acute Gout Diagnosis Rule,Risk stratifies for gout vs non-gout arthritis and helps determine which patients benefit most from joint aspiration.,http://www.mdcalc.com/calc/2175
10471,Acute Renal Failure after Cardiac Surgery (Thakar Score),Predicts risk of acute renal failure (ARF) requiring dialysis after cardiac surgery.,http://www.mdcalc.com/calc/10471
1857,ADAPT Protocol for Cardiac Event Risk,Assesses chest pain patients at 2 hours for risk of cardiac event.,http://www.mdcalc.com/calc/1857
3909,Additional Nodal Metastasis Nomogram,Predicts likelihood of breast cancer with sentinel lymph node metastasis has also spread to additional lymph nodes.,http://www.mdcalc.com/calc/3909
1730,Adult Self-Report Scale (ASRS v1.1) for ADHD,Diagnoses adult ADHD.,http://www.mdcalc.com/calc/1730
10464,Adverse Childhood Experiences (ACE) Score,Screens for adverse childhood experiences.,http://www.mdcalc.com/calc/10464
